"Horodateur","Retourner au travail ou à l'école est-il une source de stress ?","Dans quelle catégorie socio-professionnelle vous situez-vous ?","Quel est votre niveau d’étude ?","Quel est votre sexe ?","Dans quelle tranche d'age vous situez vous?","Statut marital","Combien de personne compose votre foyer ?","Où habitez-vous ?","Vous vivez ...","Quel est votre mode de déplacement professionnel? ","Suite au confinement, pensez vous changer votre mode de déplacement?","Appréciez-vous le télétravail ?","Pensez-vous être plus productif en télétravail ?","Pourquoi ?","Veuillez répondre « Un peu » à cette question.","Selon vous combien de temps les mesures de gestes barrières devraient être appliquées ?","Qu'est ce qui, selon vous, pourrait améliorer le télétravail ?","Selon vous, après cet épisode de crise, quelle(s) mesure(s) devraient être prise(s) lors de votre retour sur votre lieu de travail ? "
"2020/06/14 2:12:40 PM UTC+2","1","Etudiant, lycéen","Bac+3/4 (Licence, Maîtrise)","Masculin","18 - 25 ans","En couple","1","En milieu urbain","En appartement","En transport en commun","2","2","3","L'isolement est source de manque de motivation. ","Un peu","Jusqu'à l'arrivée d'un vaccin","Que les entreprises nous dotent d'un budget pour travailler dans de bonnes conditions. (bureau, chaise)",""
"2020/06/14 2:19:30 PM UTC+2","2","Etudiant, lycéen","Bac+5 (Master, écoles d'ingé, écoles d'arts...)","Masculin","18 - 25 ans","Célibataire","1","En milieu périurbain","En maison","En voiture / moto / scooter","1","5","1","Distractions","Un peu","Jusqu'à l'arrivée d'un vaccin","","Sanitaires "
"2020/06/14 2:20:46 PM UTC+2","7","Demandeur d’emploi","Bac (général, pro et technologique)","Masculin","26 - 35 ans","Célibataire","1","En milieu périurbain","bateau","bateau","7","4","4","","Un peu","Au moins 3 mois","",""
"2020/06/14 2:31:38 PM UTC+2","6","Employé","Bac+3/4 (Licence, Maîtrise)","Féminin","26 - 35 ans","En couple","2","En milieu urbain","En appartement","En transport en commun","5","7","7","Environnement agréable, pas de distractions","Tout le temps","Au moins 1 an","","Sécurité, sous plusieurs aspects"
"2020/06/14 2:38:49 PM UTC+2","1","Etudiant, lycéen","Bac+5 (Master, écoles d'ingé, écoles d'arts...)","Masculin","18 - 25 ans","En couple","2","En milieu urbain","Appartemebt avec jardin","Voiture et tram","1","4","1","Parsque je suis moins productif ","Un peu","Jusqu'à l'arrivée d'un vaccin","La fin du teletravail ","Plus de sortie entre collègue "
"2020/06/14 3:24:51 PM UTC+2","7","Demandeur d’emploi","Bac+3/4 (Licence, Maîtrise)","Masculin","26 - 35 ans","En couple","2","En milieu urbain","En appartement","En transport en commun","5","4","4","","Un peu","Au moins 1 an","",""
"2020/06/14 3:27:37 PM UTC+2","4","Etudiant, lycéen","Brevet des collèges","Féminin","Moins de 18 ans","Célibataire","5 ou plus","En milieu périurbain","En maison avec jardin","En transport en commun","2","2","2","","Un peu","Au moins 6 mois","",""
"2020/06/14 3:33:23 PM UTC+2","5","Employé","Bac+3/4 (Licence, Maîtrise)","Masculin","51 - 62 ans","En couple","1","En milieu rural","En maison avec jardin","En voiture / moto / scooter","1","6","4","la télévente est un petit cousin du télétravail .","Un peu","Jusqu'à l'arrivée d'un vaccin","la mise à disposition de matériels .","l'application des gestes barrières et le port du masque ."
"2020/06/14 4:43:16 PM UTC+2","3","Etudiant, lycéen","Brevet des collèges","Masculin","18 - 25 ans","En couple","5 ou plus","En milieu rural","En maison avec jardin","En voiture / moto / scooter","1","4","1","Moins bonne organisation (et implication).","Un peu","Au moins 3 mois","","Étant lycéen je suis déjà retourné en cour, et les mesures sont simplement le respect des gestes barrières."
"2020/06/14 5:07:33 PM UTC+2","1","Etudiant, lycéen","Bac+3/4 (Licence, Maîtrise)","Féminin","18 - 25 ans","En couple","2","En milieu urbain","En appartement","Train","1","4","3","Sources perturbatrices genre la télé ","Un peu","Au moins 3 mois","Je ne sais pas",""
"2020/06/14 5:14:53 PM UTC+2","3","Etudiant, lycéen","Bac+3/4 (Licence, Maîtrise)","Féminin","18 - 25 ans","En couple","1","En milieu urbain","En appartement","En transport en commun","4","5","6","","Un peu","Jusqu'à l'arrivée d'un vaccin","",""
"2020/06/14 5:42:25 PM UTC+2","2","Employé","Bac+3/4 (Licence, Maîtrise)","Féminin","18 - 25 ans","En couple","2","En milieu urbain","En appartement","En transport en commun","6","4","4","Télétravail incompatible avec mon travail. ","Un peu","Jusqu'à l'arrivée d'un vaccin","","Garder les mesures qui était appliquées pendant le confinement. En effet, nous avons travaillé au labo pendant tout le confinement avec des mesures spéciales. "
"2020/06/14 6:09:16 PM UTC+2","7","Cadre ou profession intellectuelle supérieure","Bac+5 (Master, écoles d'ingé, écoles d'arts...)","Masculin","18 - 25 ans","En couple","2","En milieu urbain","En appartement","À pied","1","5","2","Source de distraction ","Un peu","Au moins 6 mois","Avoir une pièce dédié au télétravail ","Gestion des flux de personnes, des gestes barrière etc.. "
"2020/06/14 6:22:11 PM UTC+2","6","Etudiant, lycéen","Bac+5 (Master, écoles d'ingé, écoles d'arts...)","Masculin","18 - 25 ans","En couple","2","En milieu urbain","En appartement","En voiture / moto / scooter","7","5","2","","Un peu","Jusqu'à l'arrivée d'un vaccin","",""
"2020/06/14 6:41:05 PM UTC+2","2","Cadre ou profession intellectuelle supérieure","Bac+5 (Master, écoles d'ingé, écoles d'arts...)","Masculin","26 - 35 ans","En couple","2","En milieu urbain","En appartement","À vélo","1","7","4","","Un peu","Au moins 3 mois","",""
"2020/06/14 6:41:43 PM UTC+2","1","Employé","Bac+2 (BTS ou autre)","Féminin","18 - 25 ans","En couple","2","En milieu urbain","En appartement","En voiture / moto / scooter","1","1","4","","Un peu","Au moins 1 an","Mise à disposition du matériel informatique nécessaire",""
"2020/06/14 6:44:21 PM UTC+2","6","Cadre ou profession intellectuelle supérieure","Bac+5 (Master, écoles d'ingé, écoles d'arts...)","Masculin","26 - 35 ans","En couple","2","En milieu périurbain","En appartement","En voiture / moto / scooter","1","7","7","Moins de distractions","Un peu","Au moins 1 an","","Pérennisation du télétravail "
"2020/06/14 7:09:02 PM UTC+2","1","Employé","Bac+5 (Master, écoles d'ingé, écoles d'arts...)","Masculin","26 - 35 ans","Célibataire","1","En milieu urbain","En appartement","À pied","1","4","4","","Un peu","Jusqu'à l'arrivée d'un vaccin","",""
"2020/06/14 7:26:37 PM UTC+2","1","Cadre ou profession intellectuelle supérieure","Bac+5 (Master, écoles d'ingé, écoles d'arts...)","Masculin","26 - 35 ans","Célibataire","1","En milieu urbain","En appartement","En voiture / moto / scooter","5","2","1","Trop de distraction","Un peu","Au moins 6 mois","",""
"2020/06/14 8:41:25 PM UTC+2","4","Employé","Bac+3/4 (Licence, Maîtrise)","Féminin","18 - 25 ans","En couple","2","En milieu rural","En maison avec jardin","En voiture / moto / scooter","1","5","5","Moins d'éléments parasites, collègues qui entrent de manière inopinée. ","Un peu","Jusqu'à l'arrivée d'un vaccin","Le matériel de bureau ","Accepter le retour au bureau soit progressif et qu'un temps d'adaptation soit nécessaire pour retrouver un rythme de bureau. Intégrer le télétravail pour les salariés peut-être à raison d'une fois par semaine ou plus selon les professions. "
"2020/06/15 7:49:57 AM UTC+2","3","Profession intermédiaire","Bac+5 (Master, écoles d'ingé, écoles d'arts...)","Féminin","18 - 25 ans","En couple","3","En milieu rural","En maison avec jardin","En voiture / moto / scooter","1","2","2","L’enseignement se fait en face...","Un peu","0 c'est inutile","",""
"2020/06/15 9:41:24 AM UTC+2","5","Cadre ou profession intellectuelle supérieure","Bac+5 (Master, écoles d'ingé, écoles d'arts...)","Masculin","18 - 25 ans","Célibataire","1","En milieu urbain","En appartement","À vélo","1","7","4","","Un peu","Jusqu'à l'arrivée d'un vaccin","",""
